iter	Passed	Remaining
278	136440	352594
279	136928	352102
280	137370	351491
281	137801	350856
282	138139	349985
283	138672	349611
284	139149	349094
285	139540	348362
286	140019	347853
287	140499	347346
288	141019	346936
289	141431	346263
290	141929	345800
291	142355	345162
292	142693	344314
293	143148	343750
294	143613	343213
295	144139	342817
296	144630	342340
297	145063	341727
298	145552	341246
299	146014	340700
300	146524	340267
301	146941	339620
302	147866	340142
303	148464	339906
304	148958	339429
305	149318	338651
306	149790	338126
307	150154	337360
308	150677	336951
309	151225	336599
310	151728	336144
311	152158	335529
312	152486	334691
313	152933	334115
314	153279	333321
315	153869	333060
316	154262	332370
317	154583	331527
318	155055	331011
319	155551	330547
320	155990	329961
321	156610	329756
322	157206	329500
323	157694	329015
324	157982	328117
325	158339	327364
326	158838	326907
327	159230	326229
328	159630	325568
329	160043	324936
330	160456	324306
331	160993	323926
332	161224	322932
333	161724	322479
334	162259	322097
335	162676	321480
336	163100	320877
337	163529	320285
338	163930	319640
339	164302	318940
340	164832	318546
341	165401	318228
342	165841	317661
343	166249	317033
344	166818	316713
345	167431	316474
346	167873	315912
347	168109	314964
348	168513	314334
349	168926	313720
350	169465	313343
351	169928	312823
352	170412	312342
353	170821	311724
354	171244	311135
355	171734	310665
356	172150	310063
357	172553	309439
358	173054	308991
359	173715	308827
360	174227	308396
361	175185	308752
362	175425	307840
363	175919	307375
364	176312	306736
365	176677	306047
366	177217	305664
367	177626	305054
368	178154	304649
369	178577	304064
370	178992	303466
371	179501	303028
372	179815	302263
373	180407	301965
374	180900	301501
375	181268	300828
376	181772	300383
377	182284	299949
378	182700	299358
379	183021	298613
380	183437	298025
381	183737	297251
382	184320	296933
383	184819	296481
384	185171	295794
385	185510	295087
386	185764	294246
387	186362	293952
388	186725	293289
389	187028	292532
390	187472	291997
391	187835	291337
392	188216	290706
393	188700	290235
394	189190	289772
395	189716	289365
396	190151	288819
397	190667	288396
398	191089	287831
399	191507	287261
400	192044	286869
401	192430	286252
402	192890	285745
403	193601	285610
404	194178	285274
405	195183	285564
406	195694	285127
407	196095	284531
408	196746	284296
409	197397	284059
410	197675	283287
411	198177	282836
412	198586	282253
413	199128	281857
414	199593	281354
415	200251	281122
416	200729	280636
417	201396	280413
418	201812	279839
419	202270	279325
420	202714	278791
421	203185	278296
422	203686	277842
423	204087	277251
424	204514	276695
425	204912	276102
426	205236	275411
427	205787	275023
428	206337	274635
429	206669	273956
430	207191	273530
431	207671	273050
432	208130	272539
433	208637	272094
434	209074	271556
435	209402	270878
436	209784	270270
437	210173	269674
438	210582	269103
439	211019	268570
440	211552	268158
441	211894	267504
442	212301	266934
443	212564	266184
444	212900	265528
445	213413	265092
446	213726	264408
447	214175	263894
448	214515	263247
449	214950	262717
450	215329	262119
451	215801	261635
452	216187	261047
453	217049	261032
454	217372	260369
455	217694	259705
456	218281	259359
457	218937	259092
458	219221	258385
459	219750	257968
460	220348	257631
461	220943	257289
462	221389	256773
463	221849	256274
464	222270	255730
465	222637	255125
466	223436	255014
467	223882	254498
468	224250	253895
469	224599	253271
470	225075	252791
471	225802	252592
472	226580	252448
473	227056	251966
474	227518	251468
475	228064	251062
476	228558	250599
477	229101	250190
478	229711	249853
479	230171	249352
480	230667	248890
481	231075	248334
482	231705	248016
483	232116	247463
484	232480	246860
485	232884	246301
486	233358	245817
487	233772	245269
488	234091	244623
489	234528	244101
490	234986	243601
491	235329	242982
492	235867	242565
493	236351	242092
494	236825	241609
495	237281	241109
496	237790	240661
497	238742	240660
498	239293	240252
499	239742	239742
500	240262	239303
501	240853	238934
502	241243	238365
503	241788	237950
504	242239	237442
505	242657	236903
506	243166	236452
507	243585	235913
508	244205	235569
509	244688	235093
510	245046	234496
511	245537	234028
512	246048	233578
513	246607	233173
514	247040	232649
515	247652	232294
516	248104	231787
517	248629	231350
518	249004	230772
519	249527	230333
520	250385	230200
521	250876	229729
522	251112	229026
523	251547	228504
524	252100	228090
525	252544	227578
526	253049	227120
527	253576	226682
528	254515	226609
529	255064	226188
530	255773	225909
531	256199	225378
532	256597	224823
533	256992	224266
534	257387	223710
535	257758	223134
536	258137	222565
537	258637	222101
538	258919	221450
539	259386	220959
540	260267	220818
541	260615	220225
542	261327	219938
543	261771	219425
544	262274	218963
545	262860	218568
546	263553	218262
547	264124	217854
548	264369	217177
549	264948	216775
550	265573	216411
551	266091	215958
552	266671	215555
553	267081	215015
554	267532	214508
555	267898	213933
556	268370	213443
557	268918	213014
558	269396	212529
559	269830	212009
560	270293	211512
561	270741	211004
562	271272	210561
563	271855	210157
564	272332	209671
565	272649	209063
566	273148	208594
567	273678	208149
568	274103	207624
569	274434	207029
570	274849	206498
571	275215	205930
572	275706	205456
573	276227	205005
574	276478	204353
575	276885	203818
576	277477	203419
577	278404	203264
578	278905	202796
579	279489	202389
580	280001	201929
581	280721	201618
582	281420	201290
583	281958	200847
584	282764	200593
585	283548	200322
586	284368	200075
587	284867	199601
588	285215	199021
589	285705	198540
590	286139	198021
591	286602	197523
592	287000	196980
593	287449	196471
594	287955	196003
595	288343	195454
596	288932	195041
597	289355	194516
598	289816	194017
599	290262	193508
600	290616	192938
601	291221	192535
602	291637	192006
603	292050	191476
604	292533	190992
605	293083	190552
606	293504	190028
607	294101	189618
608	294534	189101
609	295012	188614
610	295410	188076
611	295783	187523
612	296223	187011
613	296683	186514
614	297071	185971
615	297570	185498
616	297894	184916
617	298200	184324
618	298691	183846
619	299123	183333
620	299646	182875
621	300052	182346
622	300420	181795
623	300817	181261
624	301421	180852
625	301805	180312
626	302094	179714
627	302448	179157
628	302877	178644
629	303287	178121
630	303780	177646
631	304191	177124
632	304554	176574
633	305025	176087
634	305524	175616
635	305850	175046
636	306349	174575
637	306755	174052
638	307102	173496
639	307517	172978
640	308013	172506
641	308383	171964
642	308856	171480
643	309315	170988
644	309741	170478
645	310292	170036
646	310737	169536
647	311215	169055
648	311653	168552
649	312103	168055
650	312518	167540
651	312837	166974
652	313188	166426
653	313687	165957
654	314138	165462
655	314557	164950
656	314888	164393
657	315225	163840
658	315664	163340
659	316239	162911
660	316579	162360
661	317060	161882
662	317462	161364
663	317900	160865
664	318214	160303
665	318585	159770
666	318994	159258
667	319465	158776
668	319880	158266
669	320346	157782
670	320675	157231
671	321186	156769
672	321689	156303
673	322198	155840
674	322590	155321
675	323062	154840
676	323541	154363
677	324014	153883
678	324386	153355
679	324872	152881
680	325252	152357
681	325749	151888
682	326092	151349
683	326581	150876
684	327196	150462
685	327876	150077
686	328227	149541
687	328719	149070
688	329122	148559
689	329647	148102
690	330005	147571
691	330496	147099
692	330850	146567
693	331289	146072
694	331899	145653
695	332408	145190
696	332844	144694
697	333321	144216
698	333749	143717
699	334233	143242
700	334642	142736
701	335110	142254
702	335560	141765
703	335891	141227
704	336226	140690
705	336643	140188
706	337242	139762
707	337716	139284
708	338247	138829
709	338681	138334
710	339148	137853
711	339543	137343
712	340005	136860
713	340418	136357
714	340814	135849
715	341287	135371
716	341705	134871
717	341938	134298
718	342526	133866
719	342943	133366
720	343471	132910
721	343944	132433
722	344426	131958
723	344947	131499
724	345430	131025
725	345863	130532
726	346297	130040
727	346734	129549
728	347211	129073
729	347602	128565
730	348118	128103
731	348488	127588
732	348969	127114
733	349392	126619
734	349776	126110
735	350227	125625
736	350650	125130
737	351005	124611
738	351437	124120
739	351869	123629
740	352328	123148
741	352915	122711
742	353269	122194
743	353780	121731
744	354256	121255
745	354731	120779
746	355250	120319
747	355667	119823
748	356089	119330
749	356595	118865
750	356985	118361
751	357341	117846
752	357819	117372
753	358168	116856
754	358694	116397
755	359088	115896
756	359588	115429
757	360513	115098
758	361042	114639
759	361449	114141
760	361880	113652
761	362307	113161
762	362862	112710
763	363425	112262
764	363920	111792
765	364367	111308
766	364859	110837
767	365312	110354
768	365854	109899
769	366326	109422
770	366739	108927
771	367180	108442
772	367671	107970
773	368107	107483
774	368570	107004
775	369057	106531
776	369515	106051
777	369940	105561
778	370383	105076
779	370900	104612
780	371382	104139
781	371797	103646
782	372304	103180
783	372679	102676
784	373114	102190
785	373728	101753
786	374234	101285
787	374646	100793
788	375045	100297
789	375593	99841
790	375939	99331
791	376314	98830
792	376797	98356
793	377322	97894
794	377771	97412
795	378124	96906
796	378501	96406
797	378752	95874
798	379195	95392
799	379674	94918
800	380151	94444
801	380427	93921
802	380961	93461
803	381455	92991
804	381865	92501
805	382336	92026
806	382712	91528
807	383264	91072
808	383793	90611
809	384184	90117
810	384524	89611
811	384807	89093
812	385272	88617
813	385783	88152
814	386287	87684
815	386790	87217
816	387158	86719
817	387642	86247
818	388135	85778
819	388503	85281
820	388927	84796
821	389364	84314
822	389779	83828
823	390264	83357
824	390705	82876
825	391262	82420
826	391847	81970
827	392270	81486
828	392739	81011
829	393262	80547
830	393705	80067
831	394223	79602
832	394719	79133
833	395198	78660
834	395664	78185
835	396168	77717
836	396649	77244
837	397123	76770
838	397699	76316
839	398267	75860
840	398838	75404
841	399275	74923
842	399792	74457
843	400196	73969
844	400727	73506
845	401271	73044
846	401596	72543
847	402017	72059
848	402434	71575
849	402883	71097
850	403375	70626
851	403904	70161
852	404427	69696
853	404844	69212
854	405337	68741
855	405823	68269
856	406270	67790
857	406781	67322
858	407162	66833
859	407493	66336
860	407985	65865
861	408471	65393
862	408913	64914
863	409398	64442
864	409865	63967
865	410284	63485
866	410712	63004
867	411054	62510
868	411523	62036
869	411841	61539
870	412188	61047
871	412613	60567
872	413061	60090
873	413508	59613
874	413953	59136
875	414526	58677
876	415005	58204
877	415457	57728
878	415943	57257
879	416379	56779
880	416836	56303
881	417365	55837
882	417930	55377
883	418340	54895
884	418770	54416
885	419254	53944
886	419693	53467
887	420405	53024
888	420843	52546
889	421249	52064
890	421718	51590
891	422185	51116
892	422623	50639
893	423075	50163
894	423597	49695
895	424077	49223
896	424510	48745
897	425037	48278
898	425422	47794
899	425976	47330
900	426789	46894
901	427634	46461
902	428374	46015
903	428977	45555
904	429254	45059
905	429707	44583
906	430049	44095
907	430568	43625
908	431025	43150
909	431423	42668
910	432073	42211
911	432382	41721
912	432698	41231
913	433152	40756
914	433632	40282
915	433977	39797
916	434522	39329
917	435364	38888
918	435878	38418
919	436293	37938
920	436732	37461
921	437282	36993
922	437630	36508
923	437949	36021
924	438395	35545
925	438723	35059
926	439191	34585
927	439677	34112
928	440054	33631
929	440475	33154
930	440904	32677
931	441358	32202
932	441791	31725
933	442428	31263
934	442821	30784
935	443307	30311
936	443846	29842
937	444374	29372
938	444779	28894
939	445225	28418
940	445788	27950
941	446243	27475
942	446682	26999
943	447214	26529
944	448150	26082
945	448691	25612
946	449264	25143
947	449795	24672
948	450297	24199
949	450743	23723
950	451238	23249
951	451674	22773
952	452012	22292
953	452367	21812
954	452736	21333
955	453190	20858
956	453593	20380
957	454076	19907
958	454719	19440
959	455300	18970
960	455812	18498
961	456387	18027
962	456796	17550
963	457247	17075
964	457718	16601
965	458260	16129
966	458696	15653
967	459104	15177
968	459682	14706
969	460451	14240
970	460932	13766
971	461530	13295
972	462024	12820
973	462500	12346
974	462834	11867
975	463396	11395
976	463815	10918
977	464294	10444
978	464911	9972
979	465199	9493
980	465561	9016
981	465939	8540
982	466280	8063
983	466918	7592
984	467380	7117
985	467738	6641
986	468184	6166
987	468571	5691
988	468990	5216
989	469405	4741
990	469907	4267
991	470363	3793
992	470835	3319
993	471304	2844
994	471659	2370
995	472279	1896
996	472708	1422
997	473168	948
998	473622	474
999	474050	0
