iter	RMSE
271	13.11907197
272	13.11880774
273	13.11844776
274	13.11837577
275	13.1176683
276	13.1172578
277	13.11706045
278	13.11670594
279	13.11650378
280	13.11631552
281	13.11594773
282	13.11582095
283	13.11540053
284	13.11527237
285	13.11496433
286	13.11467529
287	13.11441957
288	13.11432884
289	13.11426169
290	13.11385032
291	13.11330409
292	13.11323423
293	13.11282859
294	13.11274415
295	13.11237023
296	13.11207001
297	13.11176882
298	13.11169781
299	13.11141781
300	13.11135547
301	13.11111006
302	13.11089237
303	13.11064903
304	13.11045155
305	13.11028661
306	13.11003467
307	13.11000223
308	13.10964162
309	13.10938786
310	13.10922508
311	13.10911248
312	13.10906622
313	13.1088657
314	13.10883952
315	13.10848477
316	13.10807824
317	13.10781649
318	13.10756997
319	13.10710853
320	13.10698559
321	13.10692516
322	13.10666738
323	13.10631598
324	13.10625357
325	13.106139
326	13.10575417
327	13.10515421
328	13.10484949
329	13.10483525
330	13.10461544
331	13.1042364
332	13.10419188
333	13.10388867
334	13.10346793
335	13.10335286
336	13.10309987
337	13.10262776
338	13.10260363
339	13.10254297
340	13.10245246
341	13.10208632
342	13.10197514
343	13.10171995
344	13.10142467
345	13.1010953
346	13.10103864
347	13.100914
348	13.10079392
349	13.10069772
350	13.10045771
351	13.10017276
352	13.09985801
353	13.09964675
354	13.09947596
355	13.09929122
356	13.09909985
357	13.09888554
358	13.09880752
359	13.09829264
360	13.09828068
361	13.0981737
362	13.09816319
363	13.09797653
364	13.0978107
365	13.09780307
366	13.09753641
367	13.09746771
368	13.09717959
369	13.09711825
370	13.09667103
371	13.0965375
372	13.09629738
373	13.09574254
374	13.09529609
375	13.09521355
376	13.09489632
377	13.0946112
378	13.09425831
379	13.09423241
380	13.09408058
381	13.09404189
382	13.09383264
383	13.09354393
384	13.09352415
385	13.09347159
386	13.09343612
387	13.09314637
388	13.09309091
389	13.09306283
390	13.09277346
391	13.09270804
392	13.09232795
393	13.09214521
394	13.09197765
395	13.09167977
396	13.09143152
397	13.09113826
398	13.09097545
399	13.09060222
400	13.09025934
401	13.09025151
402	13.0899861
403	13.08993795
404	13.08972032
405	13.08919262
406	13.08904588
407	13.08883084
408	13.08859221
409	13.08811882
410	13.08810868
411	13.08804707
412	13.08787875
413	13.08778696
414	13.08757682
415	13.0872106
416	13.08684082
417	13.08668615
418	13.08660924
419	13.08634213
420	13.08589425
421	13.0858923
422	13.0857219
423	13.0854542
424	13.08528352
425	13.08494927
426	13.08494026
427	13.08472892
428	13.0844637
429	13.08446137
430	13.08423807
431	13.08416293
432	13.08401041
433	13.0839533
434	13.08375894
435	13.08353501
436	13.08344219
437	13.08324006
438	13.08303561
439	13.0828177
440	13.08259148
441	13.08243579
442	13.08234487
443	13.08221684
444	13.08215839
445	13.08186866
446	13.08179676
447	13.08157032
448	13.08151036
449	13.08142831
450	13.08120262
451	13.08103423
452	13.08098952
453	13.08085103
454	13.08083541
455	13.0807842
456	13.08056508
457	13.08052719
458	13.08046322
459	13.0803592
460	13.08020515
461	13.08004735
462	13.0798647
463	13.07973719
464	13.07970431
465	13.07968989
466	13.0792254
467	13.07918099
468	13.07917163
469	13.07908057
470	13.07882109
471	13.07848052
472	13.07838466
473	13.07819838
474	13.07775802
475	13.07768753
476	13.07744935
477	13.07744443
478	13.07706124
479	13.07684893
480	13.07666204
481	13.07641885
482	13.07613212
483	13.0761185
484	13.07607139
485	13.0757531
486	13.0752773
487	13.07513001
488	13.07500384
489	13.07497341
490	13.07493859
491	13.07491095
492	13.07462182
493	13.07448725
494	13.07430154
495	13.07419071
496	13.07406684
497	13.07384405
498	13.07373755
499	13.07363019
500	13.07342032
501	13.07302342
502	13.07281938
503	13.0724781
504	13.07240283
505	13.0723885
506	13.07213787
507	13.07190853
508	13.0717478
509	13.0715239
510	13.07151637
511	13.07132479
512	13.07123099
513	13.07107168
514	13.07084852
515	13.07062589
516	13.07041574
517	13.07034908
518	13.07033885
519	13.07031687
520	13.07010672
521	13.06995215
522	13.06984798
523	13.06958215
524	13.06948974
525	13.06920044
526	13.0689268
527	13.06872681
528	13.06858527
529	13.06830538
530	13.06812053
531	13.06805611
532	13.06795588
533	13.06794305
534	13.06782095
535	13.06775217
536	13.06772465
537	13.06750241
538	13.06746308
539	13.06697105
540	13.06678326
541	13.06653878
542	13.06637003
543	13.06611663
544	13.06587052
545	13.06576586
546	13.0657128
547	13.06563973
548	13.06553543
549	13.06530923
550	13.06506359
551	13.06487814
552	13.0646709
553	13.06439253
554	13.06413342
555	13.06407326
556	13.06384246
557	13.06358237
558	13.06336101
559	13.06294685
560	13.06293276
561	13.06279207
562	13.06260557
563	13.06243978
564	13.06230652
565	13.0622855
566	13.06206762
567	13.06188722
568	13.06141579
569	13.06119556
570	13.06091507
571	13.06085367
572	13.06059761
573	13.06039688
574	13.0603267
575	13.06028056
576	13.0601973
577	13.06008256
578	13.06006391
579	13.05990252
580	13.05979674
581	13.05956411
582	13.0594997
583	13.05929772
584	13.05882666
585	13.05870994
586	13.05862944
587	13.05844827
588	13.05834333
589	13.05816755
590	13.0579304
591	13.05754908
592	13.05733694
593	13.05708297
594	13.05684338
595	13.05678011
596	13.05657458
597	13.05632322
598	13.05622549
599	13.05603125
600	13.05598262
601	13.05591059
602	13.05576731
603	13.05560613
604	13.05553601
605	13.05530084
606	13.05518236
607	13.05468129
608	13.05445468
609	13.05430474
610	13.05411651
611	13.05395545
612	13.05374785
613	13.05356558
614	13.05348797
615	13.05329496
616	13.05328097
617	13.05324577
618	13.05308613
619	13.05298997
620	13.05275381
621	13.0524307
622	13.0523818
623	13.05235509
624	13.05223704
625	13.05198198
626	13.05192328
627	13.05178
628	13.05168063
629	13.05166598
630	13.05155401
631	13.05148033
632	13.05142414
633	13.05125777
634	13.05091763
635	13.05082272
636	13.05069512
637	13.05056897
638	13.05056416
639	13.05047087
640	13.05044313
641	13.05041159
642	13.05016386
643	13.05008763
644	13.04988761
645	13.04980844
646	13.04954146
647	13.04924573
648	13.04920232
649	13.04913245
650	13.0489294
651	13.04879882
652	13.04875352
653	13.04848726
654	13.04837886
655	13.04836052
656	13.04832114
657	13.04829425
658	13.04813537
659	13.04794544
660	13.04787951
661	13.0477437
662	13.04744361
663	13.04732498
664	13.04730261
665	13.04717595
666	13.04693355
667	13.04673207
668	13.04655415
669	13.0463378
670	13.04632557
671	13.04605711
672	13.04589934
673	13.04569818
674	13.04568755
675	13.04546574
676	13.04518306
677	13.04496435
678	13.04493087
679	13.04465625
680	13.04427028
681	13.04399015
682	13.04394794
683	13.04375846
684	13.04355391
685	13.04347958
686	13.04345134
687	13.04319756
688	13.04316911
689	13.04301941
690	13.04283857
691	13.04272425
692	13.04265497
693	13.0426387
694	13.04257563
695	13.04245801
696	13.04241543
697	13.04240188
698	13.04228677
699	13.0421301
700	13.04207774
701	13.04202049
702	13.04189672
703	13.04182901
704	13.04179292
705	13.04162974
706	13.04141695
707	13.04123094
708	13.0410895
709	13.04094164
710	13.04069932
711	13.04067852
712	13.04053384
713	13.04033237
714	13.04030398
715	13.04016206
716	13.04009454
717	13.04005745
718	13.03992778
719	13.03980392
720	13.03971287
721	13.03964453
722	13.03948103
723	13.03925175
724	13.03910197
725	13.03903487
726	13.03897212
727	13.03872938
728	13.0385554
729	13.03827491
730	13.03803851
731	13.03784964
732	13.03782115
733	13.03768057
734	13.03743542
735	13.03725794
736	13.03708902
737	13.03686288
738	13.03685462
739	13.03674676
740	13.03651054
741	13.03629029
742	13.03625546
743	13.03616675
744	13.03607132
745	13.03591299
746	13.03570053
747	13.03563241
748	13.03556077
749	13.03537397
750	13.03525996
751	13.03519074
752	13.03504656
753	13.03498034
754	13.03495154
755	13.03463568
756	13.03457705
757	13.03451782
758	13.03435691
759	13.03416683
760	13.03410319
761	13.03384465
762	13.03365257
763	13.03346015
764	13.03340996
765	13.03320481
766	13.03313108
767	13.03303262
768	13.032884
769	13.03276944
770	13.03246137
771	13.03226044
772	13.03202721
773	13.03201735
774	13.0318584
775	13.03174439
776	13.03147135
777	13.03134811
778	13.03125688
779	13.03101982
780	13.03099413
781	13.03093316
782	13.03077209
783	13.03060821
784	13.03045095
785	13.03023299
786	13.0301013
787	13.02997804
788	13.02995558
789	13.02977264
790	13.02973647
791	13.02967016
792	13.02948268
793	13.02918881
794	13.0290935
795	13.02903764
796	13.02895234
797	13.02894397
798	13.02888313
799	13.02865721
800	13.02846569
801	13.02842143
802	13.02835499
803	13.02828235
804	13.0282511
805	13.02823645
806	13.02818971
807	13.02810225
808	13.02798849
809	13.02790775
810	13.02772786
811	13.02770899
812	13.02756071
813	13.02753226
814	13.02745729
815	13.02721988
816	13.02720766
817	13.0270489
818	13.02699098
819	13.02695015
820	13.02675598
821	13.02675339
822	13.02659149
823	13.02640792
824	13.0261459
825	13.02586658
826	13.02578776
827	13.02575985
828	13.02554345
829	13.02541977
830	13.02527111
831	13.02507436
832	13.02498238
833	13.02493957
834	13.02472193
835	13.02451478
836	13.02443304
837	13.02433301
838	13.02413646
839	13.02397103
840	13.0237431
841	13.02369475
842	13.02363016
843	13.02359303
844	13.02338427
845	13.02328185
846	13.0232491
847	13.02305105
848	13.02296315
849	13.02280216
850	13.02267659
851	13.02256454
852	13.02254407
853	13.02251674
854	13.02232923
855	13.02209252
856	13.02197494
857	13.02191699
858	13.02182874
859	13.02171492
860	13.02158734
861	13.0215229
862	13.02139382
863	13.02124818
864	13.02107161
865	13.02086789
866	13.02071413
867	13.0207105
868	13.02067143
869	13.02065679
870	13.02063793
871	13.02052831
872	13.02038731
873	13.02019173
874	13.02005146
875	13.01997545
876	13.01985309
877	13.01983076
878	13.01971233
879	13.01960696
880	13.01954323
881	13.01945346
882	13.01905149
883	13.01864186
884	13.01854811
885	13.01826263
886	13.01809372
887	13.01794099
888	13.01788625
889	13.01773796
890	13.01768462
891	13.01751919
892	13.01733729
893	13.01730577
894	13.01721271
895	13.01711632
896	13.01703872
897	13.01701132
898	13.0169791
899	13.01694773
900	13.01692458
901	13.01690602
902	13.01674945
903	13.01672888
904	13.01670572
905	13.01651619
906	13.01650427
907	13.01645736
908	13.01642503
909	13.01639065
910	13.01638211
911	13.01636537
912	13.01630281
913	13.01624741
914	13.01600597
915	13.01596602
916	13.01595881
917	13.01573384
918	13.0155235
919	13.01539412
920	13.01521383
921	13.01499115
922	13.01498846
923	13.01494707
924	13.01489407
925	13.01486033
926	13.01484484
927	13.01464346
928	13.01444318
929	13.0143261
930	13.0141759
931	13.01408026
932	13.0139462
933	13.01383579
934	13.01375884
935	13.01360039
936	13.01349494
937	13.01339375
938	13.01338199
939	13.01335244
940	13.01333054
941	13.01326778
942	13.01303858
943	13.01300147
944	13.01290749
945	13.01286741
946	13.01261569
947	13.01245505
948	13.01236883
949	13.01204501
950	13.01183696
951	13.01171504
952	13.01169585
953	13.01166428
954	13.01162763
955	13.0114325
956	13.01140236
957	13.01133874
958	13.01124641
959	13.01111463
960	13.01099695
961	13.01080814
962	13.01075909
963	13.010658
964	13.0104446
965	13.01036961
966	13.01011985
967	13.01011083
968	13.00981665
969	13.00974258
970	13.00971302
971	13.00959962
972	13.00942084
973	13.00926702
974	13.00924686
975	13.00910393
976	13.0090198
977	13.008846
978	13.00874318
979	13.00869656
980	13.00867423
981	13.0086222
982	13.00859693
983	13.00856274
984	13.00832043
985	13.00828991
986	13.00828234
987	13.0081871
988	13.00811824
989	13.00791137
990	13.00788539
991	13.00762358
992	13.00752235
993	13.00743754
994	13.00736968
995	13.00716299
996	13.00698168
997	13.00692192
998	13.00674965
999	13.0066758
